location,address,url,code,coords
Stoke-on-Trent,"City Centre, Quadrant Rd, Hanley, Stoke-on-Trent ST1 1PS",https://www.cineworld.co.uk/cinemas/Stoke-on-Trent/093#/buy-tickets-by-cinema?in-cinema=093&at=2023-04-14&view-mode=list,93,
Swindon-Regent Circus,"11 Victoria Rd, Swindon SN1 1FA",https://www.cineworld.co.uk/cinemas/Swindon-Regent-Circus/086#/buy-tickets-by-cinema?in-cinema=086&at=2023-04-14&view-mode=list,86,"51.5580314, -1.7796648"
Swindon-Shaw Ridge,"Whitehill Way, Shaw Ridge Leisure Park, Swindon SN5 7DN",https://www.cineworld.co.uk/cinemas/Swindon-Shaw-Ridge/012#/buy-tickets-by-cinema?in-cinema=012&at=2023-04-14&view-mode=list,12,
Telford,"Southwater Square, Telford TF3 4HS",https://www.cineworld.co.uk/cinemas/Telford/085#/buy-tickets-by-cinema?in-cinema=085&at=2023-04-14&view-mode=list,85,"52.6736302, -2.4473297"
Wakefield,"Westgate Retail & Lesuire Westgate Retail & Leisure Park, Colinsway, Wakefield WF2 9SH",https://www.cineworld.co.uk/cinemas/Wakefield/021#/buy-tickets-by-cinema?in-cinema=021&at=2023-04-14&view-mode=list,21,
Warrington,"Time Square Unit 8, Warrington WA1 2LH",https://www.cineworld.co.uk/cinemas/Warrington/115#/buy-tickets-by-cinema?in-cinema=115&at=2023-04-14&view-mode=list,115,
Watford,"Charter Pl, Watford WD17 2DJ",https://www.cineworld.co.uk/cinemas/Watford/111#/buy-tickets-by-cinema?in-cinema=111&view-mode=list,111,
Weston-super-Mare,"Dolphin Square, 7 Central Walk, Weston-super-Mare BS23 1FF",https://www.cineworld.co.uk/cinemas/Weston-super-Mare/109#/buy-tickets-by-cinema?in-cinema=109&at=2023-04-14&view-mode=list,109,
Weymouth,"New Bond St, Weymouth DT4 8LY",https://www.cineworld.co.uk/cinemas/Weymouth/039#/buy-tickets-by-cinema?in-cinema=039&at=2023-04-14&view-mode=list,39,"50.6099669, -2.4551186"
Whiteley,"Whiteley Shopping Centre, Whiteley Wy., Whiteley, Fareham PO15 7PD",https://www.cineworld.co.uk/cinemas/Whiteley/091#/buy-tickets-by-cinema?in-cinema=091&at=2023-04-14&view-mode=list,91,"50.885584949999995, -1.2457133499999957"
Witney,"Unit L3, Marriotts Walk, Witney OX28 6GW",https://www.cineworld.co.uk/cinemas/Witney/075#/buy-tickets-by-cinema?in-cinema=075&at=2023-04-14&view-mode=list,75,"51.7876439, -1.4858676"
Wolverhampton,"Bentley Bridge Park, Wednesfield Wy, Wolverhampton WV11 1TZ",https://www.cineworld.co.uk/cinemas/Wolverhampton/025#/buy-tickets-by-cinema?in-cinema=025&at=2023-04-14&view-mode=list,25,"52.59637765, -2.0919544568382387"
Yate,"11 Link Rd, Yate, Bristol BS37 4AY",https://www.cineworld.co.uk/cinemas/Yate/094#/buy-tickets-by-cinema?in-cinema=094&at=2023-04-14&view-mode=list,94,
Yeovil,"Yeo Leisure Park, Old Station Way, Yeovil BA20 1NP",https://www.cineworld.co.uk/cinemas/Yeovil/059#/buy-tickets-by-cinema?in-cinema=059&at=2023-04-14&view-mode=list,59,
